name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
Bulbasaur,grass,poison,45,49,49,65,65,45,1,0
Ivysaur,grass,poison,60,62,63,80,80,60,1,0
Venusaur,grass,poison,80,100,123,122,120,80,1,0
Charmander,fire,none,39,52,43,60,50,65,1,0
Charmeleon,fire,none,58,64,58,80,65,80,1,0
Charizard,fire,flying,78,104,78,159,115,100,1,0
Squirtle,water,none,44,48,65,50,64,43,1,0
Wartortle,water,none,59,63,80,65,80,58,1,0
Blastoise,water,none,79,103,120,135,115,78,1,0
Caterpie,bug,none,45,30,35,20,20,45,1,0
Metapod,bug,none,50,20,55,25,25,30,1,0
Butterfree,bug,flying,60,45,50,90,80,70,1,0
Weedle,bug,poison,40,35,30,20,20,50,1,0
Kakuna,bug,poison,45,25,50,25,25,35,1,0
Beedrill,bug,poison,65,150,40,15,80,145,1,0
Pidgey,normal,flying,40,45,40,35,35,56,1,0
Pidgeotto,normal,flying,63,60,55,50,50,71,1,0
Pidgeot,normal,flying,83,80,80,135,80,121,1,0
Rattata,normal,dark,30,56,35,25,35,72,1,0
Raticate,normal,dark,75,71,70,40,80,77,1,0
Spearow,normal,flying,40,60,30,31,31,70,1,0
Fearow,normal,flying,65,90,65,61,61,100,1,0
Ekans,poison,none,35,60,44,40,54,55,1,0
Arbok,poison,none,60,95,69,65,79,80,1,0
Pikachu,electric,none,35,55,40,50,50,90,1,0
Raichu,electric,electric,60,85,50,95,85,110,1,0
Sandshrew,ground,ice,50,75,90,10,35,40,1,0
Sandslash,ground,ice,75,100,120,25,65,65,1,0
Nidoran♀,poison,none,55,47,52,40,40,41,1,0
Nidorina,poison,none,70,62,67,55,55,56,1,0
Nidoqueen,poison,ground,90,92,87,75,85,76,1,0
Nidoran♂,poison,none,46,57,40,40,40,50,1,0
Nidorino,poison,none,61,72,57,55,55,65,1,0
Nidoking,poison,ground,81,102,77,85,75,85,1,0
Clefairy,fairy,none,70,45,48,60,65,35,1,0
Clefable,fairy,none,95,70,73,95,90,60,1,0
Vulpix,fire,ice,38,41,40,50,65,65,1,0
Ninetales,fire,ice,73,67,75,81,100,109,1,0
Jigglypuff,normal,fairy,115,45,20,45,25,20,1,0
Wigglytuff,normal,fairy,140,70,45,85,50,45,1,0
Zubat,poison,flying,40,45,35,30,40,55,1,0
Golbat,poison,flying,75,80,70,65,75,90,1,0
Oddish,grass,poison,45,50,55,75,65,30,1,0
Gloom,grass,poison,60,65,70,85,75,40,1,0
Vileplume,grass,poison,75,80,85,110,90,50,1,0
Paras,bug,grass,35,70,55,45,55,25,1,0
Parasect,bug,grass,60,95,80,60,80,30,1,0
Venonat,bug,poison,60,55,50,40,55,45,1,0
Venomoth,bug,poison,70,65,60,90,75,90,1,0
Diglett,ground,ground,10,55,30,35,45,90,1,0
Dugtrio,ground,ground,35,100,60,50,70,110,1,0
Meowth,normal,dark,40,35,35,50,40,90,1,0
Persian,normal,dark,65,60,60,75,65,115,1,0
Psyduck,water,none,50,52,48,65,50,55,1,0
Golduck,water,none,80,82,78,95,80,85,1,0
Mankey,fighting,none,40,80,35,35,45,70,1,0
Primeape,fighting,none,65,105,60,60,70,95,1,0
Growlithe,fire,none,55,70,45,70,50,60,1,0
Arcanine,fire,none,90,110,80,100,80,95,1,0
Poliwag,water,none,40,50,40,40,40,90,1,0
Poliwhirl,water,none,65,65,65,50,50,90,1,0
Poliwrath,water,fighting,90,95,95,70,90,70,1,0
Abra,psychic,none,25,20,15,105,55,90,1,0
Kadabra,psychic,none,40,35,30,120,70,105,1,0
Alakazam,psychic,none,55,50,65,175,105,150,1,0
Machop,fighting,none,70,80,50,35,35,35,1,0
Machoke,fighting,none,80,100,70,50,60,45,1,0
Machamp,fighting,none,90,130,80,65,85,55,1,0
Bellsprout,grass,poison,50,75,35,70,30,40,1,0
Weepinbell,grass,poison,65,90,50,85,45,55,1,0
Victreebel,grass,poison,80,105,65,100,70,70,1,0
Tentacool,water,poison,40,40,35,50,100,70,1,0
Tentacruel,water,poison,80,70,65,80,120,100,1,0
Geodude,rock,ground,40,80,100,30,30,20,1,0
Graveler,rock,ground,55,95,115,45,45,35,1,0
